137,77,5,33,117,-39
126,19,25,30,123,-21
151,0,15,28,80,-56
168,51,15,38,132,-115
134,70,19,28,116,178
48,68,28,22,111,115
52,57,3,37,127,49
137,20,25,38,97,-72
32,81,11,31,117,78
125,9,6,35,98,171
180,52,25,26,117,28
8,73,4,28,136,76
141,62,12,37,86,156
37,43,11,36,97,-165
52,85,11,31,119,-37
130,44,2,21,137,-59
29,30,12,24,127,-4
111,46,6,38,135,149
169,74,30,33,118,140
106,59,13,26,97,-33
6,77,20,34,136,4
161,67,14,23,86,15
3,69,14,32,122,41
148,14,22,22,122,150
9,5,16,38,125,-151
150,85,4,35,110,-31
54,9,27,34,130,106
91,43,8,30,114,-43
136,63,15,26,128,-169
96,55,7,23,117,107
87,76,2,40,95,-155
80,50,19,21,139,-70
61,17,6,26,100,-111
142,87,20,39,87,65
34,61,5,27,123,50
33,62,20,27,124,-9
43,10,20,39,85,-58
37,82,22,22,93,-109
118,7,24,36,125,11
84,17,16,22,104,66
135,43,27,27,116,111
144,48,1,33,80,-159
163,77,19,40,107,-67
178,86,19,35,90,37
11,79,8,35,102,150
114,29,16,25,105,66
149,4,6,27,138,-59
89,59,18,26,122,-59
17,43,17,33,121,-28
13,38,11,36,127,-71
60,53,3,21,115,152
115,40,27,32,109,-9
86,61,21,32,86,1
59,86,11,28,109,15
54,54,1,29,126,-139
53,33,24,38,93,114
135,36,15,22,100,162
52,8,23,22,117,176
127,67,22,36,139,-185
108,55,3,39,84,-12
149,35,3,28,112,-15
141,29,26,33,86,168
133,87,2,39,125,-66
61,45,8,26,112,-71
21,26,2,25,83,198
180,46,10,36,88,-147
97,58,17,28,115,172
81,67,13,24,140,184
90,16,26,36,89,-121
82,25,28,31,85,10
8,51,15,34,129,83
30,38,7,29,83,54
82,8,5,39,105,-1
104,33,19,30,115,133
170,85,12,32,104,-173
92,27,22,24,80,-78
68,50,22,20,133,149
16,30,12,20,123,160
164,65,24,35,109,84
143,54,24,31,110,116
87,55,4,38,140,127
55,29,22,40,89,181
51,14,6,27,109,-83
126,18,2,22,105,32
12,56,29,31,93,-43
110,20,2,30,93,121
129,41,27,25,83,149
74,39,10,28,85,124
21,25,9,25,126,-141
68,11,1,20,83,12
59,66,10,23,117,-12
101,50,28,28,99,179
53,42,24,28,108,-200
124,17,10,26,84,132
14,25,7,29,130,56
164,0,13,37,115,6
174,27,26,33,121,-95
176,24,16,23,112,87
13,22,18,36,99,156
80,34,15,35,118,168
152,5,26,40,81,33
57,64,28,37,133,-163
35,61,6,23,118,-199
64,85,21,40,126,-139
125,41,15,30,91,103
72,22,27,38,115,-186
125,11,18,37,86,150
65,31,17,38,133,7
48,88,2,40,102,26
38,74,5,36,139,-35
4,61,16,21,118,109
128,74,10,40,82,81
65,81,2,36,98,56
21,81,22,20,81,-45
115,11,26,32,80,-105
35,56,28,31,123,131
65,29,17,20,125,-153
39,69,16,25,109,-191
146,76,20,31,120,-178
152,28,25,39,132,127
148,53,10,31,118,0
158,60,28,38,131,-163
47,2,18,37,92,-22
149,72,20,25,96,-141
20,69,17,27,107,-58
4,85,13,25,85,-152
143,77,26,37,128,117
114,88,10,32,94,99
120,85,2,23,92,-3
75,87,19,21,82,17
160,38,23,33,110,-162
81,31,19,31,113,-79
91,25,20,20,91,69
36,23,3,25,92,110
74,35,8,33,101,-146
45,4,10,27,100,146
12,45,10,22,120,-87
123,44,2,28,129,52
99,62,6,32,112,148
24,48,30,21,101,183
38,81,25,28,123,178
122,38,11,27,88,-154
127,16,17,31,116,105
41,34,29,24,100,-67
171,16,16,22,127,65
74,65,6,36,124,-144
49,41,8,29,106,-73
107,65,8,21,94,-168
59,51,17,34,106,129
176,18,1,35,123,160
40,39,5,28,138,182
71,29,3,34,93,55
131,79,27,31,84,-9
116,11,28,24,88,-77
147,25,17,25,97,188
1,83,13,20,115,-67
6,57,13,29,92,-175
176,10,6,34,83,-165
76,48,17,27,104,180
25,88,7,33,135,-98
179,44,24,23,112,153
3,0,20,25,124,20
81,81,15,24,105,-14
56,47,30,26,132,3
148,79,6,38,129,55
91,7,19,37,140,-143
69,14,21,34,108,14
100,29,6,38,105,14
128,34,5,35,89,-2
151,40,14,27,83,133
64,14,16,35,130,85
96,59,10,27,119,-152
175,62,23,34,120,-176
113,0,23,25,80,155
109,56,23,23,132,-67
44,11,21,27,129,-184
174,44,6,37,124,74
8,79,19,27,112,-2
147,82,11,35,138,-200
2,36,26,36,117,-29
100,16,2,26,87,-77
54,86,20,21,94,59
41,48,2,37,111,-159
63,4,27,35,93,-54
155,79,20,34,111,-167
109,69,3,38,99,108
27,79,19,21,126,-160
64,24,22,34,110,18
137,59,12,28,132,148
160,45,14,28,92,-187
50,53,19,21,108,92
167,18,19,40,98,151
64,18,15,30,81,192
5,25,23,31,80,26
78,10,8,31,127,130
43,35,13,27,140,25
86,62,4,28,111,184
172,34,25,32,130,-105
36,71,16,39,87,-101
97,87,24,32,90,-113
9,78,30,33,123,-92
85,69,23,33,80,-20
22,0,21,37,89,-189
142,65,12,22,87,61
48,7,18,35,124,-181
24,65,13,21,118,-87
77,34,23,28,88,167
136,37,26,29,84,-95
103,43,27,34,126,1
6,5,25,34,84,48
150,83,30,26,129,112
175,79,12,39,111,165
